timeStamp,countNum
0,2
100,4
100000,3
100010,1
100020,1
100030,8
100040,5
100050,3
100070,2
100080,1
100110,2
100120,6
100130,4
100140,2
100180,2
100220,3
100230,1
100250,3
100260,4
100270,7
100280,3
100300,6
100310,1
100320,1
100340,6
100360,2
100370,10
100380,3
100390,1
100400,3
100420,2
100460,2
100480,3
100490,1
100500,3
100510,5
100520,10
100530,8
100540,10
100550,2
100560,5
100570,6
100590,5
100600,2
100610,1
100650,3
100670,1
100690,3
100700,1
100710,4
100760,1
100800,4
100810,8
100820,10
100830,9
100840,5
100850,2
100870,15
100880,6
100890,16
100900,2
100910,6
100920,2
100930,1
100940,3
100950,4
100990,1
10100,3
101010,1
101020,3
101030,4
101050,7
101070,2
101080,6
101090,10
101100,4
101110,16
101120,5
101130,1
101140,13
101150,6
101160,12
101170,19
101180,7
101190,7
10120,7
101200,7
101210,7
101230,4
101250,2
101260,5
101280,4
101300,2
101310,6
101320,5
101330,1
101340,2
101350,4
101360,3
101370,4
10140,4
101410,1
101440,3
101450,8
101460,3
101470,6
101480,7
101490,7
101500,5
101510,11
101520,3
101530,4
101540,1
101570,1
101580,4
101590,2
101600,4
101620,3
101630,7
101640,7
101650,3
101670,6
101680,8
101690,1
101700,7
101710,1
101720,4
101730,1
101740,2
101750,1
101760,1
101770,1
101780,5
101790,4
10180,18
101800,10
101810,5
101820,13
101830,5
101840,14
101850,16
101860,11
101870,19
101880,12
101890,15
101900,9
101910,9
101920,13
101930,12
101940,10
101950,17
101960,4
101970,5
101980,9
101990,2
102000,4
102010,15
102020,14
102030,8
102040,2
102050,6
102060,4
102070,5
102080,4
102090,4
10210,2
102100,1
102110,6
102120,1
102130,12
102140,9
102150,3
102160,6
102170,14
102180,2
102190,4
102210,1
102220,2
102240,4
102250,4
102260,1
102270,1
102280,2
102300,1
102310,1
102320,2
102330,2
102350,1
102360,1
102370,1
102380,1
102400,1
102460,3
102470,3
102480,5
102490,10
10250,3
102500,7
102510,3
102520,2
102530,9
102540,12
102550,19
102560,1
102570,18
102580,12
102590,17
102600,6
102610,7
102620,4
102640,2
102650,3
102670,1
102680,1
102690,1
10270,17
102700,16
102710,1
102720,6
102730,6
102740,11
102750,7
102770,1
102780,6
10280,6
102800,8
102810,7
102820,7
102830,13
102840,5
102860,1
102870,10
102880,1
102890,7
102900,3
102910,5
102920,9
102930,3
102940,4
102980,1
102990,1
1030,3
103000,2
103010,1
103030,4
103050,3
103070,1
103080,3
103090,12
103100,7
103110,1
103120,2
103130,4
103180,4
103210,1
103220,5
103230,6
103240,7
103250,4
103260,1
103280,3
103290,1
103310,2
103330,6
103340,6
103350,6
103360,7
103370,2
103380,11
103390,4
103400,5
103420,10
103430,24
103440,5
103450,8
103460,1
103470,13
103480,33
103490,71
103500,49
103510,73
103520,31
103530,36
103540,71
103550,101
103560,118
103570,110
103580,54
103590,5
103600,32
103610,17
103620,11
103630,19
103640,5
103650,22
103660,50
103670,39
103680,28
103690,38
103700,28
103710,23
103720,9
103730,32
103740,15
103750,4
103760,5
103770,3
103780,5
103790,3
103800,1
103810,6
103820,4
103830,2
103840,18
103850,30
103860,13
103870,6
103880,9
103890,8
103900,4
103910,4
103920,14
103930,16
103940,17
103950,15
103960,14
103970,11
103980,14
103990,26
10400,3
104000,19
104010,28
104020,39
104030,26
104040,27
104050,23
104060,35
104070,34
104080,25
104090,21
104100,21
104110,35
104120,18
104130,13
104140,35
104150,31
104160,29
104170,26
104180,20
104190,20
104200,18
104210,17
104220,20
104230,15
104240,8
104250,10
104260,3
104270,22
104280,25
104290,28
104300,25
104310,24
104320,14
104330,23
104340,15
104350,4
104360,18
104370,16
104380,7
104390,26
10440,1
104400,17
104410,22
104420,10
104430,18
104440,20
104450,16
104460,33
104470,32
104480,31
104490,34
104500,43
104510,19
104520,21
104530,15
104540,15
104550,43
104560,17
104570,14
104580,1
104590,22
104600,17
104610,41
104620,107
104630,84
104640,50
104650,50
104660,53
104670,38
104680,41
104690,83
104700,51
104710,120
104720,138
104730,87
104740,54
104750,81
104760,83
104770,84
104780,66
104790,62
104800,55
104810,34
104820,26
104830,20
104840,18
104850,8
104860,9
104870,24
104880,20
104890,15
104900,17
104910,13
104920,9
104930,7
104940,20
104950,15
104960,10
104970,31
104980,69
104990,23
10500,17
105000,13
105010,91
105020,46
105030,22
105040,31
105050,26
105060,30
105070,33
105080,30
105090,43
10510,1
105100,49
105110,39
105120,39
105130,35
105140,30
105150,35
105160,59
105170,45
105180,41
105190,54
10520,3
105200,23
105210,20
105220,20
105230,19
105240,13
105250,34
105260,14
105270,7
105280,4
105290,7
10530,1
105300,13
105310,7
105320,36
105330,23
105340,18
105350,18
105360,16
105370,41
105380,28
105390,32
10540,1
105400,17
105410,24
105420,14
105430,52
105440,51
105450,115
105460,163
105470,69
105480,48
105490,112
105500,62
105510,32
105520,30
105530,7
105550,1
105560,3
105570,3
105580,5
105590,8
105600,8
105610,84
105620,36
105630,22
105640,10
105650,10
105660,4
105670,5
105680,4
105690,6
10570,1
105700,9
105710,7
105720,15
105730,7
105740,6
105750,4
105760,1
105770,5
105780,3
105790,3
105800,3
105810,3
105820,3
105830,1
105850,7
105860,3
105880,4
105890,2
105900,6
105910,8
105950,1
1060,2
10600,12
106050,2
106060,1
106070,6
106080,5
106090,7
10610,4
106100,14
106110,9
106120,23
106130,32
106140,59
106150,93
106160,156
106170,29
106180,5
106190,1
106200,3
106210,5
106220,1
106240,1
106250,3
106310,3
106360,17
106370,57
106380,36
106390,54
106400,25
106410,31
106420,29
106430,19
106440,30
106450,41
106460,31
106470,22
106480,19
106490,17
106500,11
106510,12
106520,13
106530,13
106540,11
106550,23
106560,25
106570,68
106580,68
106590,74
106600,77
106610,42
106620,27
106630,9
106640,6
106650,9
106660,10
106670,11
106680,15
106690,73
106700,67
106710,111
106720,144
106730,102
106740,114
106750,123
106760,181
106770,214
106780,221
106790,257
106800,169
106810,297
106820,189
106830,247
106840,220
106850,162
106860,157
106870,110
106880,53
106890,62
106900,78
106910,113
106920,126
106930,119
106940,122
106950,66
106960,43
106970,32
106980,22
106990,17
107000,66
107010,8
107020,20
107030,32
107040,6
107050,7
107060,9
107070,19
107080,4
107090,6
107100,2
107110,15
107120,14
107130,34
107140,67
107150,83
107160,62
107170,124
107180,219
107190,262
107200,247
107210,291
107220,214
107230,245
107240,229
107250,162
107260,200
107270,214
107280,226
107290,284
107300,235
107310,345
107320,258
107330,317
107340,273
107350,276
107360,197
107370,219
107380,158
107390,173
107400,131
107410,220
107420,134
107430,161
107440,243
107450,281
107460,241
107470,277
107480,184
107490,179
107500,161
107510,123
107520,111
107530,261
107540,287
107550,289
107560,259
107570,156
107580,73
107590,104
107600,56
107610,164
107620,162
107630,95
107640,32
107650,27
107660,20
107670,22
107680,5
107690,5
10770,6
107700,9
107710,8
107720,5
107730,6
107740,48
107750,53
107760,171
107770,207
107780,118
107790,70
107800,22
107810,32
107820,16
107830,15
107840,3
107850,6
107860,8
107870,12
107880,6
107890,4
107900,10
107910,130
107920,448
107930,469
107940,441
107950,468
107960,463
107970,409
107980,501
107990,467
1080,17
108000,433
108010,505
108020,508
108030,460
108040,452
108050,435
108060,450
108070,434
108080,482
108090,454
108100,444
108110,370
108120,427
108130,403
108140,413
108150,400
108160,414
108170,439
108180,428
108190,456
108200,445
108210,364
108220,404
108230,384
108240,452
108250,465
108260,501
108270,442
108280,534
108290,520
10830,12
108300,528
108310,500
108320,474
108330,487
108340,536
108350,510
108360,527
108370,537
108380,454
108390,552
10840,1
108400,480
108410,505
108420,470
108430,441
108440,446
108450,545
108460,527
108470,514
108480,500
108490,534
108500,505
108510,418
108520,471
108530,532
108540,506
108550,516
108560,488
108570,424
108580,445
108590,458
108600,550
108610,514
108620,501
108630,449
108640,462
108650,476
108660,482
108670,499
108680,511
108690,466
108700,407
108710,390
108720,365
108730,417
108740,460
108750,399
108760,392
108770,387
108780,332
108790,366
